"latitude","longitude","depth","mag"
35.9086667,-117.7275,5.61,0.56
35.798,-117.6216667,3.12,0.93
36.1328333,-117.8671667,4.09,0.94
33.5868333,-116.809,5.49,0.6
35.9208333,-117.7178333,3.69,0.54
36.1021667,-117.8496667,3.32,0.89
40.2655,-121.1763333,3.16,1.14
33.1408333,-116.4838333,8.7,0.97
35.8468333,-117.6766667,2.67,0.54
33.4921667,-116.8038333,6.67,0.63
36.0985,-117.8335,1.19,1.35
35.8236667,-117.6795,6.42,1.35
33.5901667,-116.8066667,4.86,0.55
35.3523333,-117.8151667,11.24,1.38
38.814167,-122.8088303,1.27,1.15
35.8655,-117.7016667,5.16,1.02
35.919,-117.7385,5.41,1.12
40.2635,-121.1768333,-1.18,1.28
35.9081667,-117.7223333,0.88,1.12
33.9865,-116.6871667,13.95,1.71
35.762,-117.5556667,9.83,1.5
35.589,-117.49,10.11,0.36
38.8125,-122.8081665,-0.61,1.03
35.7913333,-117.635,10.25,0.86
37.5999985,-118.9291687,1.62,1.2
38.8296661,-122.8671646,2.69,0.58
37.6351667,-118.9223333,4.3,0.34
34.0236667,-117.2261667,14.75,1.22
35.8593333,-117.6981667,8.85,1.57
38.0783348,-118.9666672,2.54,2.31
38.7826653,-122.7214966,1.31,0.44
35.3488333,-117.833,6.93,1.13
38.1624985,-122.8345032,7.7,1.54
35.743,-118.0551667,0.07,0.91
35.8506667,-117.6831667,4.77,0.67
32.9048333,-116.2776667,9.39,1.37
33.6025,-116.8101667,9.21,0.44
34.9968333,-118.1805,-0.82,1.65
35.8653333,-117.6881667,4.03,1.11
33.5951667,-116.8098333,6.13,0.69
38.8364983,-122.793663,2.01,0.56
35.8045,-117.6316667,3.65,2.86
33.7538333,-116.9185,14.18,0.75
38.7723351,-122.7365036,2.05,1.4
34.009,-117.1355,10.12,1.58
37.7301667,-118.7741667,6.74,0.74
34.961,-119.6971667,6.64,1.57
34.1868333,-117.1236667,3.53,0.84
33.7811667,-116.9141667,11.6,0.62
35.9101667,-117.7353333,11,0.74
33.0268333,-116.5246667,14.17,1.09
36.0818333,-117.9088333,4.97,1.19
38.8035011,-122.741333,1.65,1
35.6458333,-117.4628333,7.73,1.28
38.7836685,-122.7330017,2.28,0.95
38.8064995,-122.7923355,1.81,0.72
36.1166667,-117.8731667,2.53,0.76
36.1375,-117.8575,5.86,1.4
36.14,-117.8565,7.44,1
38.8036652,-122.7553329,0.63,0.91
38.8061676,-122.7541656,-0.04,1.05
38.8031654,-122.7546692,0.12,1.36
38.8071671,-122.7921677,1.9,0.87
34.0938333,-118.3775,7.44,0.84
35.675,-117.5526667,7.25,0.99
38.8183327,-122.7618332,1.96,0.88
35.6928333,-117.489,4.33,1.18
35.8741667,-117.7095,8.29,1.36
33.5846667,-116.8081667,5.02,0.23
33.5083333,-116.4501667,2.68,0.64
35.9206667,-117.6931667,10.53,1.03
39.2385,-120.0887,11.5,1.2
35.7085,-117.5086667,6.8,1.19
33.9743333,-117.078,14.42,0.72
38.8068352,-122.7925034,3.12,0.88
37.587,-118.8423333,8.07,0.9
35.9198341,-120.4700012,4.15,0.25
34.1901667,-117.1245,2.43,0.95
33.4808333,-116.7955,4.21,0.66
37.8903351,-122.2054977,5.55,1.18
38.8186684,-122.8118362,2.98,0.55
33.4801667,-116.8033333,4.36,0.96
36.6443329,-121.2606659,10.2,1.7
33.724,-116.81,15.16,0.82
35.8383333,-117.6391667,0.12,0.93
33.4778333,-116.7875,3.28,0.22
35.8666667,-117.6865,6.05,0.91
39.243,-123.1303329,0.19,1.83
35.9233333,-117.6911667,10.71,0.88
35.8263333,-117.6723333,7.36,0.89
35.8581667,-117.6976667,2.31,1.06
38.8061676,-122.7923355,1.66,0.36
38.786335,-122.7375031,1.54,1.02
36.5818329,-121.0790024,9.57,1.49
35.689,-117.4661667,0.66,1.58
33.7893333,-118.1221667,16.77,1.39
35.6245,-117.4761667,5.88,1.25
35.8598333,-117.6628333,6.13,1.14
33.8861667,-116.8601667,11.08,1.16
32.8033333,-115.5686667,7.65,1.18
32.8141667,-115.5758333,8.51,1.23
35.673,-117.499,9.17,1.08
34.1948333,-117.1226667,2.47,0.79
34.7338333,-117.65,7.74,1.15
38.8063316,-122.7916641,1.66,1.06
38.8056679,-122.7908325,1.43,2.51
33.5931667,-116.804,5.36,0.59
37.598999,-118.9193344,2.26,1.98
37.5983315,-118.9193344,2.15,2.26
33.762,-116.9233333,11.9,0.97
32.949,-115.8013333,5.37,1.15
38.8266678,-122.786499,0.68,1.73
34.0323333,-117.502,3.63,1.21
33.4885,-116.7898333,6.51,1.57
35.8181667,-117.5373333,1.78,1.31
37.6045,-118.9211667,1.54,0.4
33.5028333,-116.7816667,1.96,0.74
33.482,-116.4273333,12.57,1.17
38.4166679,-122.4398346,10.74,2.37
33.5028333,-116.779,2.02,1.08
35.7031667,-117.51,7,1.52
35.8815,-117.6805,1.79,1.67
39.2680016,-123.2201691,5.84,1.54
38.7768326,-122.7139969,2.1,0.91
35.799,-117.6168333,8.08,1.03
35.8208333,-117.6348333,3.06,1.19
35.6556667,-117.5176667,1.52,1.32
38.8153343,-122.8186646,1.93,2.34
35.6896667,-117.5656667,6.05,1.25
35.6708333,-117.4231667,9.84,0.71
35.6723333,-117.423,9.87,1.01
35.9051667,-117.723,4.85,1.33
35.8073333,-117.629,2.73,1.1
38.7985001,-122.8136673,3.27,0.36
33.58,-116.8106667,4.85,1.64
36.4370003,-120.6481705,15.27,2.56
37.2457,-117.6773,11.8,0.7
38.791832,-122.7471695,1.16,0.56
37.3696667,-119.9773333,18.36,3.04
32.9035,-116.9501667,3.4,1.56
33.1303333,-116.4416667,14.84,0.82
33.1088333,-116.4336667,7.04,1.23
35.6635,-118.1055,10.87,1.01
33.588,-116.8101667,5.39,1.03
35.7076667,-117.4766667,1.61,1.54
33.9303333,-117.8735,6.66,1.49
38.8073349,-122.7911682,1.89,0.54
35.5863333,-117.4106667,9.42,0.42
35.7441667,-117.5161667,4.03,1.25
35.744,-117.5103333,5.33,0.83
35.8826667,-117.6995,8.41,0.66
35.5476667,-117.5071667,5.66,0.78
35.7113333,-117.5718333,9.01,0.15
35.8571667,-117.6631667,5.88,0.74
35.678,-117.5338333,8.34,1.21
36.435,-120.656,15.04,2.13
34.7655,-120.0185,6.43,1.68
38.8166656,-122.8148346,2.84,1.06
33.927,-117.8716667,8.14,2.56
39.2745018,-123.2268295,5.54,1.68
33.5866667,-116.8096667,4.7,0.29
36.1471667,-117.831,1.46,1.12
37.3943329,-121.6638336,7.98,1.08
35.8678333,-117.6825,9.53,0.75
35.9105,-117.7063333,1.96,0.82
35.6126667,-117.4963333,6.19,-0.09
36.0998333,-117.855,3.62,0.82
33.8198333,-117.4863333,1.46,1.59
35.5831667,-117.4985,6.23,0.02
39.2678337,-123.2226639,5.38,2.18
39.2698326,-123.2225037,5.77,1.67
35.703,-117.5511667,2.18,0.63
38.8143349,-122.8150024,3,0.55
35.8835,-117.6895,9.38,0.88
